22:52:00 +34:30:00 AND
22:52:00 +52:30:00 AND
23:20:00 +52:30:00 AND
23:20:00 +50:00:00 AND
23:35:00 +50:00:00 AND
23:35:00 +48:00:00 AND
00:10:00 +48:00:00 AND
00:10:00 +46:00:00 AND
00:52:00 +46:00:00 AND
00:52:00 +48:00:00 AND
01:07:00 +48:00:00 AND
01:07:00 +50:00:00 AND
01:22:00 +50:00:00 AND
01:40:00 +50:00:00 AND
01:40:00 +47:00:00 AND
02:02:30 +47:00:00 AND
02:02:30 +50:30:00 AND
02:31:00 +50:30:00 AND
02:31:00 +36:45:00 AND
02:00:00 +36:45:00 AND
02:00:00 +35:00:00 AND
01:24:30 +35:00:00 AND
01:24:30 +33:00:00 AND
00:43:00 +33:00:00 AND
00:43:00 +23:45:00 AND
00:51:00 +23:45:00 AND
00:51:00 +21:00:00 AND
00:08:30 +21:00:00 AND
00:08:30 +22:00:00 AND
00:04:00 +22:00:00 AND
00:04:00 +28:00:00 AND
00:00:00 +28:00:00 AND
00:00:00 +31:20:00 AND
23:45:00 +31:20:00 AND
23:45:00 +32:05:00 AND
23:30:00 +32:05:00 AND
23:30:00 +34:30:00 AND
09:22:00 -24:00:00 ANT
09:22:00 -36:45:00 ANT
09:22:00 -39:45:00 ANT
11:00:00 -39:45:00 ANT
11:00:00 -35:00:00 ANT
10:50:00 -35:00:00 ANT
10:50:00 -31:10:00 ANT
10:35:00 -31:10:00 ANT
10:35:00 -29:10:00 ANT
10:15:00 -29:10:00 ANT
10:15:00 -26:30:00 ANT
09:45:00 -26:30:00 ANT
09:45:00 -24:00:00 ANT
13:40:00 -82:30:00 APS
18:00:00 -82:30:00 APS
18:00:00 -75:00:00 APS
18:00:00 -67:30:00 APS
17:30:00 -67:30:00 APS
17:00:00 -67:30:00 APS
17:00:00 -70:00:00 APS
14:45:00 -70:00:00 APS
13:40:00 -70:00:00 APS
13:40:00 -75:00:00 APS
20:32:00 +00:00:00 AQR
20:32:00 +02:00:00 AQR
20:50:00 +02:00:00 AQR
21:20:00 +02:00:00 AQR
21:28:00 +02:00:00 AQR
21:28:00 +02:45:00 AQR
21:40:00 +02:45:00 AQR
21:40:00 +01:45:00 AQR
22:00:00 +01:45:00 AQR
22:00:00 +02:00:00 AQR
22:45:00 +02:00:00 AQR
22:45:00 +00:00:00 AQR
22:45:00 -04:00:00 AQR
23:50:00 -04:00:00 AQR
23:50:00 -07:00:00 AQR
23:50:00 -25:30:00 AQR
23:00:00 -25:30:00 AQR
21:52:00 -25:30:00 AQR
21:52:00 -09:00:00 AQR
21:20:00 -09:00:00 AQR
21:20:00 -15:00:00 AQR
20:32:00 -15:00:00 AQR
20:32:00 -09:00:00 AQR
18:35:00 +00:00:00 AQL
18:35:00 +02:00:00 AQL
18:52:00 +02:00:00 AQL
18:52:00 +06:15:00 AQL
18:39:44 +06:15:00 AQL
18:39:44 +12:00:00 AQL
18:52:00 +12:00:00 AQL
18:52:00 +18:30:00 AQL
19:00:00 +18:30:00 AQL
19:00:00 +16:10:00 AQL
19:50:00 +16:10:00 AQL
19:50:00 +15:45:00 AQL
20:08:30 +15:45:00 AQL
20:08:30 +08:30:00 AQL
20:18:00 +08:30:00 AQL
20:18:00 +02:00:00 AQL
20:32:00 +02:00:00 AQL
20:32:00 +00:00:00 AQL
20:32:00 -09:00:00 AQL
20:00:00 -09:00:00 AQL
20:00:00 -12:02:00 AQL
18:52:00 -12:02:00 AQL
